source,q_lo,q_hi,n_metrics_regress,metrics_regressed,ssim2_gpu_lo,ssim2_gpu_hi,ba_gpu_lo,ba_gpu_hi,ssim2_cpu_lo,ssim2_cpu_hi,ba_cpu_lo,ba_cpu_hi,dssim_lo,dssim_hi,size_lo,size_hi,decoded_lo,decoded_hi
/mnt/v/input/zensim/sources/70849402699f932d_512sq.png,70,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",71.09023680546723,69.92607616265963,2.9619572162628174,5.615780830383301,71.08161349947824,69.89719514678207,3.048182249069214,5.618474006652832,0.00177106,0.00183995,22282,28818,/mnt/v/input/zensim/images/70849402699f932d_512sq/zenwebp-default-m4/q70.png,/mnt/v/input/zensim/images/70849402699f932d_512sq/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/70849402699f932d_769x513.png,50,60,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",66.92600553457491,66.65803492048117,3.6083359718322754,4.264382839202881,66.8833581969572,66.59542406565254,3.6802031993865967,4.292921543121338,0.0020539,0.00217027,18866,20588,/mnt/v/input/zensim/images/70849402699f932d_769x513/zenwebp-default-m4/q50.png,/mnt/v/input/zensim/images/70849402699f932d_769x513/zenwebp-default-m4/q60.png
/mnt/v/input/zensim/sources/70849402699f932d_769x513.png,70,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",70.03930246901795,69.58751778896325,2.967545986175537,5.9943132400512695,70.01957129778165,69.51154086204917,2.9998927116394043,5.996972560882568,0.0016529,0.00175454,23036,29884,/mnt/v/input/zensim/images/70849402699f932d_769x513/zenwebp-default-m4/q70.png,/mnt/v/input/zensim/images/70849402699f932d_769x513/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/708587_512sq.png,75,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",64.58600016964812,59.94804125358285,4.741870403289795,8.736255645751953,64.60279914176287,59.971983245348824,4.770773887634277,8.736165046691895,0.00274211,0.00355562,27170,33442,/mnt/v/input/zensim/images/708587_512sq/zenwebp-default-m4/q75.png,/mnt/v/input/zensim/images/708587_512sq/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/71813b1e023f8f6d_1024sq.png,30,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",51.95247986867939,37.5498110048818,5.814335346221924,23.648117065429688,51.94942918915224,37.548964811093796,5.83914852142334,23.64287567138672,0.0070728,0.01388527,124224,247690,/mnt/v/input/zensim/images/71813b1e023f8f6d_1024sq/zenwebp-default-m4/q30.png,/mnt/v/input/zensim/images/71813b1e023f8f6d_1024sq/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/71813b1e023f8f6d_512sq.png,70,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",67.96057595290074,66.20977169953615,2.7222161293029785,7.16287899017334,67.94430946048107,66.20928938734019,2.746838092803955,7.16357421875,0.00324844,0.00357815,47734,60462,/mnt/v/input/zensim/images/71813b1e023f8f6d_512sq/zenwebp-default-m4/q70.png,/mnt/v/input/zensim/images/71813b1e023f8f6d_512sq/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/71813b1e023f8f6d_818x1022.png,50,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",59.12873828462764,56.682775259887364,9.630516052246094,11.360025405883789,59.13819538501616,56.69017176255218,9.629435539245605,11.358108520507812,0.00486613,0.00609261,124496,193274,/mnt/v/input/zensim/images/71813b1e023f8f6d_818x1022/zenwebp-default-m4/q50.png,/mnt/v/input/zensim/images/71813b1e023f8f6d_818x1022/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/71ee7c1d4ba18e16_513x769.png,20,25,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",50.87466248270314,50.22300699724163,6.916067600250244,7.2331862449646,50.86747161890056,50.19825235561341,6.925994873046875,7.242597579956055,0.00541515,0.005687,5136,5586,/mnt/v/input/zensim/images/71ee7c1d4ba18e16_513x769/zenwebp-default-m4/q20.png,/mnt/v/input/zensim/images/71ee7c1d4ba18e16_513x769/zenwebp-default-m4/q25.png
/mnt/v/input/zensim/sources/71ee7c1d4ba18e16_769x513.png,20,25,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",51.31964087838849,51.086713298020705,5.879232406616211,7.559667110443115,51.27732355253228,51.08594538998296,5.886203289031982,7.568706512451172,0.00544315,0.0058646,4934,5348,/mnt/v/input/zensim/images/71ee7c1d4ba18e16_769x513/zenwebp-default-m4/q20.png,/mnt/v/input/zensim/images/71ee7c1d4ba18e16_769x513/zenwebp-default-m4/q25.png
/mnt/v/input/zensim/sources/71ee7c1d4ba18e16_818x1022.png,20,25,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",48.57833114785193,47.88515676442094,6.296761512756348,6.562592506408691,48.568776825928154,47.885342420800576,6.344895362854004,6.575987339019775,0.00554554,0.00607982,8854,9708,/mnt/v/input/zensim/images/71ee7c1d4ba18e16_818x1022/zenwebp-default-m4/q20.png,/mnt/v/input/zensim/images/71ee7c1d4ba18e16_818x1022/zenwebp-default-m4/q25.png
/mnt/v/input/zensim/sources/7200e5c3946c6b07_769x513.png,20,25,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",37.56849781933092,34.1635120479434,5.5369648933410645,9.670819282531738,37.56496028580767,34.1677077845202,5.638382434844971,9.693641662597656,0.01175581,0.01316458,26104,29614,/mnt/v/input/zensim/images/7200e5c3946c6b07_769x513/zenwebp-default-m4/q20.png,/mnt/v/input/zensim/images/7200e5c3946c6b07_769x513/zenwebp-default-m4/q25.png
/mnt/v/input/zensim/sources/7218572_512sq.png,70,75,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",70.08586387674954,69.33012174109376,3.953446388244629,4.77595329284668,70.08294792870073,69.31042494357885,3.977576971054077,4.779910564422607,0.00220883,0.00222811,18536,19360,/mnt/v/input/zensim/images/7218572_512sq/zenwebp-default-m4/q70.png,/mnt/v/input/zensim/images/7218572_512sq/zenwebp-default-m4/q75.png
/mnt/v/input/zensim/sources/7223ec300561ea95_1022x818.png,20,25,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",40.19378624319418,39.0578206828323,5.5602617263793945,11.249591827392578,40.188659880815976,39.047419464906675,5.677704334259033,11.247879028320312,0.00768674,0.0084689,15548,17500,/mnt/v/input/zensim/images/7223ec300561ea95_1022x818/zenwebp-default-m4/q20.png,/mnt/v/input/zensim/images/7223ec300561ea95_1022x818/zenwebp-default-m4/q25.png
/mnt/v/input/zensim/sources/7233401_512sq.png,75,90,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",74.04968548436524,70.40725568795051,3.349064588546753,11.722111701965332,74.0252477527442,70.29290055434825,3.3664510250091553,11.723152160644531,0.00215179,0.00260549,10764,22012,/mnt/v/input/zensim/images/7233401_512sq/zenwebp-default-m4/q75.png,/mnt/v/input/zensim/images/7233401_512sq/zenwebp-default-m4/q90.png
/mnt/v/input/zensim/sources/724c2f124ea7e13a_1022x818.png,20,25,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",52.52640577841877,51.539766697505726,5.681363105773926,9.93520450592041,52.53266946862756,51.544768022937006,5.714846611022949,9.934659957885742,0.0054843,0.00580204,66972,74176,/mnt/v/input/zensim/images/724c2f124ea7e13a_1022x818/zenwebp-default-m4/q20.png,/mnt/v/input/zensim/images/724c2f124ea7e13a_1022x818/zenwebp-default-m4/q25.png
/mnt/v/input/zensim/sources/724c2f124ea7e13a_512sq.png,30,60,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",61.51441021997794,60.77131260538689,4.270360469818115,6.9580559730529785,61.49734275438454,60.78090555846121,4.339571952819824,6.960188865661621,0.00417302,0.00420463,36096,48476,/mnt/v/input/zensim/images/724c2f124ea7e13a_512sq/zenwebp-default-m4/q30.png,/mnt/v/input/zensim/images/724c2f124ea7e13a_512sq/zenwebp-default-m4/q60.png
/mnt/v/input/zensim/sources/724c2f124ea7e13a_513x769.png,40,60,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",63.49643609952444,59.04968782480056,4.514866828918457,8.151391983032227,63.49556245452999,59.06771244956164,4.540078163146973,8.15129280090332,0.00339257,0.00467336,62868,75780,/mnt/v/input/zensim/images/724c2f124ea7e13a_513x769/zenwebp-default-m4/q40.png,/mnt/v/input/zensim/images/724c2f124ea7e13a_513x769/zenwebp-default-m4/q60.png
/mnt/v/input/zensim/sources/724c2f124ea7e13a_769x513.png,70,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",71.65186998020215,61.384628586992925,3.479435443878174,9.257481575012207,71.65691071361239,61.38256882591406,3.490966796875,9.257146835327148,0.00192521,0.00406573,77428,95346,/mnt/v/input/zensim/images/724c2f124ea7e13a_769x513/zenwebp-default-m4/q70.png,/mnt/v/input/zensim/images/724c2f124ea7e13a_769x513/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/7280783_512sq.png,75,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",66.62244430707577,60.631159941870244,2.9515771865844727,9.256038665771484,66.60721367840966,60.630565858678544,2.980480670928955,9.261126518249512,0.00348806,0.00549033,33532,42062,/mnt/v/input/zensim/images/7280783_512sq/zenwebp-default-m4/q75.png,/mnt/v/input/zensim/images/7280783_512sq/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/729d0eef82bbd8e1_1022x818.png,20,25,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",49.5203737111646,49.470425651898765,5.585920333862305,6.814312934875488,49.51894901938947,49.463209338900825,5.601510524749756,6.828566074371338,0.00686103,0.00686979,25756,28820,/mnt/v/input/zensim/images/729d0eef82bbd8e1_1022x818/zenwebp-default-m4/q20.png,/mnt/v/input/zensim/images/729d0eef82bbd8e1_1022x818/zenwebp-default-m4/q25.png
/mnt/v/input/zensim/sources/729d0eef82bbd8e1_1024sq.png,70,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",67.49081800898104,59.99363508816899,5.3864898681640625,8.82583999633789,67.42688078893889,59.88163988700727,5.425359725952148,8.832071304321289,0.00260754,0.00455002,63684,85564,/mnt/v/input/zensim/images/729d0eef82bbd8e1_1024sq/zenwebp-default-m4/q70.png,/mnt/v/input/zensim/images/729d0eef82bbd8e1_1024sq/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/729d0eef82bbd8e1_512sq.png,50,60,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",64.35504009171058,62.88541493974707,3.7582075595855713,6.307579040527344,64.29394253209395,62.86607198491674,3.7792015075683594,6.307340145111084,0.00357881,0.00417317,11534,12800,/mnt/v/input/zensim/images/729d0eef82bbd8e1_512sq/zenwebp-default-m4/q50.png,/mnt/v/input/zensim/images/729d0eef82bbd8e1_512sq/zenwebp-default-m4/q60.png
/mnt/v/input/zensim/sources/729d0eef82bbd8e1_512sq.png,70,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",69.44498695980064,67.44055949218891,3.9326624870300293,4.890542984008789,69.46020822134804,67.41297496160335,3.9535670280456543,4.8970489501953125,0.00254628,0.00274861,14528,19454,/mnt/v/input/zensim/images/729d0eef82bbd8e1_512sq/zenwebp-default-m4/q70.png,/mnt/v/input/zensim/images/729d0eef82bbd8e1_512sq/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/729d0eef82bbd8e1_513x769.png,40,60,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",60.7827079132756,60.61857214974711,3.8918802738189697,7.859003067016602,60.74325784137222,60.57245867597844,3.925628423690796,7.880093574523926,0.00441346,0.00473018,16968,21364,/mnt/v/input/zensim/images/729d0eef82bbd8e1_513x769/zenwebp-default-m4/q40.png,/mnt/v/input/zensim/images/729d0eef82bbd8e1_513x769/zenwebp-default-m4/q60.png
/mnt/v/input/zensim/sources/729d0eef82bbd8e1_818x1022.png,20,25,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",50.32676036262613,47.13354168403463,6.181770324707031,8.67526626586914,50.26306121402805,47.05269677118377,6.236845970153809,8.721503257751465,0.00670669,0.00769493,21366,23904,/mnt/v/input/zensim/images/729d0eef82bbd8e1_818x1022/zenwebp-default-m4/q20.png,/mnt/v/input/zensim/images/729d0eef82bbd8e1_818x1022/zenwebp-default-m4/q25.png
/mnt/v/input/zensim/sources/729d0eef82bbd8e1_818x1022.png,50,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",62.27845394785196,54.32420533573988,4.500609397888184,9.717340469360352,62.17632090274746,54.26255800668479,4.564844131469727,9.71571159362793,0.00368743,0.00572355,35368,60704,/mnt/v/input/zensim/images/729d0eef82bbd8e1_818x1022/zenwebp-default-m4/q50.png,/mnt/v/input/zensim/images/729d0eef82bbd8e1_818x1022/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/729f1e461d3552da_512sq.png,20,25,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",56.44066672903485,56.20661857625544,5.352758407592773,6.541578769683838,56.41542490269864,56.21392493337191,5.396223545074463,6.541072368621826,0.0049903,0.00525,3302,3558,/mnt/v/input/zensim/images/729f1e461d3552da_512sq/zenwebp-default-m4/q20.png,/mnt/v/input/zensim/images/729f1e461d3552da_512sq/zenwebp-default-m4/q25.png
/mnt/v/input/zensim/sources/729f1e461d3552da_513x769.png,70,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",71.89718116902031,62.633532644848096,3.335353136062622,14.119588851928711,71.88127641448654,62.61135772489297,3.3398079872131348,14.116832733154297,0.0020096,0.00445801,8534,10872,/mnt/v/input/zensim/images/729f1e461d3552da_513x769/zenwebp-default-m4/q70.png,/mnt/v/input/zensim/images/729f1e461d3552da_513x769/zenwebp-default-m4/q80.png
/mnt/v/input/zensim/sources/744d0eeeaf9280c6_1024sq.png,70,80,5,"ba_cpu,ba_gpu,dssim,ssim2_cpu,ssim2_gpu",63.096162488833635,37.40288501314993,7.472743988037109,18.391258239746094,63.109639357763484,37.41890240144806,7.4747633934021,18.388811111450195,0.00357624,0.00841763,118302,147358,/mnt/v/input/zensim/images/744d0eeeaf9280c6_1024sq/zenwebp-default-m4/q70.png,/mnt/v/input/zensim/images/744d0eeeaf9280c6_1024sq/zenwebp-default-m4/q80.png
